state,growth_rate_2000_2010
Alabama,7.48
Alaska,13.29
Arizona,24.59
Arkansas,9.07
California,9.99
Colorado,16.92
Connecticut,4.95
Delaware,14.59
District of Columbia,5.19
Florida,17.64
Georgia,18.34
Hawaii,12.28
Idaho,21.15
Illinois,3.31
Indiana,6.63
Iowa,4.1
Kansas,6.13
Kentucky,7.36
Louisiana,1.44
Maine,4.19
Maryland,9.01
Massachusetts,3.13
Michigan,-0.55
Minnesota,7.81
Mississippi,4.31
Missouri,7.04
Montana,9.67
Nebraska,6.72
Nevada,35.15
New Hampshire,6.53
New Jersey,4.49
New Mexico,13.2
New York,2.12
North Carolina,18.46
North Dakota,4.73
Ohio,1.62
Oklahoma,8.71
Oregon,11.97
Pennsylvania,3.43
Puerto Rico,-2.17
Rhode Island,0.41
South Carolina,15.29
South Dakota,7.86
Tennessee,11.54
Texas,20.59
Utah,23.77
Vermont,2.78
Virginia,13.03
Washington,14.09
West Virginia,2.47
Wisconsin,6.03
Wyoming,14.14
