state,growth_rate_2010_2020
Alabama,5.12
Alaska,3.26
Arizona,11.88
Arkansas,3.28
California,6.13
Colorado,14.8
Connecticut,0.89
Delaware,10.25
District of Columbia,14.6
Florida,14.56
Georgia,10.57
Hawaii,6.98
Idaho,17.32
Illinois,-0.14
Indiana,4.65
Iowa,4.73
Kansas,2.97
Kentucky,3.84
Louisiana,2.74
Maine,2.56
Maryland,6.99
Massachusetts,7.37
Michigan,1.96
Minnesota,7.59
Mississippi,-0.2
Missouri,2.77
Montana,9.58
Nebraska,7.4
Nevada,14.96
New Hampshire,4.64
New Jersey,5.65
New Mexico,2.83
New York,4.25
North Carolina,9.48
North Dakota,15.83
Ohio,2.28
Oklahoma,5.54
Oregon,10.6
Pennsylvania,2.36
Puerto Rico,-11.81
Rhode Island,4.26
South Carolina,10.66
South Dakota,8.9
Tennessee,8.9
Texas,15.91
Utah,18.37
Vermont,2.77
Virginia,7.88
Washington,14.58
West Virginia,-3.2
Wisconsin,3.64
Wyoming,2.35
